,0
0,0
1,10
2,28
3,16
4,16
5,36
6,45
7,0
8,0
9,12
10,12
11,0
12,0
13,10
14,27
15,0
16,33
17,0
18,4
19,0
20,4
21,2
22,0
23,0
24,0
25,12
26,14
27,0
28,45
29,12
30,0
31,0
32,0
33,0
34,0
35,0
36,44
37,12
38,0
39,16
40,2
41,48
42,21
43,7
44,45
45,36
46,12
47,0
48,12
49,0
50,41
51,0
52,12
53,33
54,7
55,41
56,33
57,43
58,0
59,0
60,12
61,9
62,0
63,0
64,0
65,0
66,4
67,12
68,0
69,40
70,43
71,0
72,16
73,12
74,20
75,12
76,37
77,41
78,0
79,44
80,9
81,21
82,4
83,4
84,0
85,0
86,41
87,4
88,49
89,16
90,0
91,19
92,28
93,25
94,18
95,0
96,0
97,45
98,18
99,0
100,0
101,25
102,47
103,4
104,2
105,2
106,34
107,33
108,0
109,41
110,12
111,43
112,41
113,20
114,36
115,0
116,34
117,48
118,16
119,0
120,6
121,9
122,0
123,7
124,16
125,0
126,4
127,0
128,44
129,18
130,4
131,18
132,0
133,12
134,0
135,9
136,0
137,0
138,18
139,4
140,4
141,21
142,0
143,13
144,27
145,12
146,7
147,0
148,48
149,12
150,40
151,39
152,6
153,41
154,0
155,0
156,0
157,13
158,27
159,45
160,14
161,4
162,0
163,0
164,18
165,0
166,37
167,0
168,0
169,6
170,0
171,16
172,0
173,46
174,0
175,47
176,0
177,27
178,27
179,16
180,0
181,0
182,0
183,14
184,43
185,12
186,0
187,0
188,33
189,28
190,0
191,12
192,25
193,9
194,0
195,0
196,40
197,0
198,29
199,45
200,42
201,0
202,37
203,0
204,0
205,34
206,34
207,2
208,4
209,0
210,7
211,0
212,0
213,4
214,27
215,0
216,16
217,21
218,41
219,45
220,17
221,28
222,0
223,0
224,41
225,13
226,0
227,12
228,6
229,2
230,18
231,28
232,41
233,0
234,45
235,4
236,12
237,0
238,21
239,23
240,10
241,45
242,0
243,0
244,16
245,0
246,20
247,37
248,20
249,0
250,7
251,12
252,18
253,48
254,27
255,2
256,19
257,41
258,20
259,10
260,45
261,40
262,2
263,12
264,0
265,41
266,14
267,42
268,34
269,0
270,0
271,13
272,12
273,12
274,0
275,16
276,41
277,0
278,0
279,0
280,16
281,14
282,16
283,40
284,12
285,14
286,0
287,18
288,0
289,0
290,12
291,12
292,12
293,0
294,42
295,43
296,37
297,2
298,0
299,0
300,0
301,0
302,29
303,20
304,24
305,2
306,0
307,40
308,47
309,45
310,20
311,0
312,36
313,41
314,0
315,14
316,2
317,0
318,45
319,4
320,0
321,45
322,41
323,2
324,14
325,18
326,0
327,41
328,13
329,0
330,21
331,45
332,48
333,0
334,14
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,2
344,0
345,0
346,38
347,14
348,45
349,12
350,42
351,41
352,46
353,0
354,7
355,19
356,37
357,9
358,12
359,14
360,22
361,0
362,12
363,16
364,48
365,41
366,0
367,44
368,40
369,14
370,0
371,10
372,34
373,17
374,12
375,8
376,0
377,2
378,12
379,0
380,12
381,0
382,0
383,18
384,40
385,4
386,0
387,45
388,10
389,0
390,21
391,2
392,12
393,12
394,0
395,48
396,0
397,9
398,32
399,48
400,41
401,43
402,40
403,12
404,0
405,28
406,0
407,13
408,12
409,47
410,0
411,0
412,7
413,45
414,0
415,37
416,37
417,28
418,45
419,12
420,6
421,0
422,0
423,0
424,45
425,25
426,42
427,14
428,0
429,12
430,41
431,49
432,20
433,12
434,4
435,12
436,47
437,4
438,10
439,35
440,27
441,0
442,0
443,2
444,45
445,14
446,12
447,12
448,8
449,5
450,2
451,41
452,13
453,27
454,12
455,0
456,41
457,0
458,2
459,48
460,49
461,4
462,12
463,0
464,43
465,43
466,41
467,0
468,0
469,9
470,0
471,0
472,0
473,12
474,12
475,12
476,2
477,0
478,0
479,46
480,27
481,34
482,47
483,9
484,12
485,28
486,30
487,28
488,18
489,12
490,49
491,12
492,0
493,0
494,40
495,0
496,7
497,41
498,27
499,8
500,0
501,12
502,2
503,4
504,12
505,20
506,27
507,0
508,0
509,27
510,0
511,37
512,0
513,0
514,12
515,41
516,12
517,4
518,41
519,12
520,41
521,7
522,0
523,0
524,39
525,0
526,40
527,8
528,25
529,10
530,0
531,40
532,0
533,14
534,12
535,33
536,45
537,0
538,12
539,0
540,0
541,4
542,4
543,0
544,0
545,12
546,4
547,48
548,35
549,0
550,0
551,47
552,0
553,12
554,0
555,40
556,12
557,12
558,22
559,0
560,45
561,0
562,0
563,3
564,12
565,12
566,0
567,28
568,17
569,0
570,0
571,27
572,0
573,0
574,0
575,12
576,0
577,0
578,18
579,12
580,12
581,0
582,12
583,0
584,20
585,0
586,20
587,2
588,27
589,7
590,18
591,22
592,9
593,39
594,12
595,0
596,10
597,12
598,12
599,33
600,38
601,45
602,47
603,40
604,14
605,12
606,12
607,33
608,4
609,12
610,0
611,0
612,0
613,48
614,12
615,0
616,0
617,0
618,12
619,12
620,12
621,0
622,0
623,14
624,44
625,12
626,0
627,45
628,27
629,4
630,0
631,12
632,12
633,12
634,34
635,34
636,47
637,4
638,0
639,49
640,4
641,44
642,14
643,0
644,0
645,0
646,7
647,4
648,41
649,8
650,4
651,4
652,0
653,45
654,12
655,49
656,0
657,49
658,33
659,0
660,0
661,7
662,12
663,0
664,9
665,0
666,2
667,40
668,0
669,40
670,22
671,0
672,13
673,43
674,7
675,0
676,28
677,12
678,12
679,19
680,0
681,12
682,0
683,0
684,35
685,12
686,12
687,45
688,8
689,49
690,2
691,4
692,2
693,10
694,12
695,4
696,13
697,13
698,34
699,0
700,9
701,0
702,48
703,4
704,10
705,12
706,0
707,9
708,29
709,13
710,40
711,0
712,45
713,34
714,12
715,4
716,40
717,12
718,33
719,0
720,0
721,22
722,0
723,0
724,0
725,7
726,9
727,0
728,37
729,0
730,34
731,41
732,7
733,0
734,0
735,37
736,47
737,2
738,27
739,41
740,12
741,32
742,16
743,10
744,12
745,0
746,0
747,9
748,12
749,25
750,12
751,28
752,12
753,12
754,0
755,12
756,0
757,0
758,22
759,2
760,44
761,34
762,4
763,2
764,8
765,18
766,47
767,2
768,41
769,0
770,7
771,28
772,7
773,0
774,38
775,40
776,2
777,44
778,41
779,4
780,4
781,0
782,0
783,0
784,6
785,7
786,18
787,12
788,27
789,2
790,12
791,41
792,0
793,0
794,0
795,17
796,12
797,11
798,0
799,40
800,45
801,16
802,12
803,7
804,22
805,0
806,0
807,44
808,33
809,7
810,3
811,0
812,18
813,43
814,41
815,36
816,11
817,2
818,13
819,12
820,0
821,12
822,33
823,0
824,34
825,16
826,9
827,0
828,9
829,0
830,47
831,12
832,0
833,5
834,40
835,40
836,0
837,34
838,23
839,13
840,14
841,12
842,0
843,18
844,0
845,4
846,20
847,14
848,0
849,0
850,0
851,14
852,4
853,45
854,29
855,2
856,0
857,0
858,27
859,13
860,0
861,0
862,35
863,6
864,12
865,41
866,12
867,0
868,0
869,8
870,2
871,21
872,4
873,36
874,0
875,34
876,7
877,0
878,12
879,22
880,41
881,12
882,40
883,14
884,12
885,0
886,13
887,41
888,25
889,18
890,0
891,41
892,20
893,6
894,0
895,33
896,12
897,0
898,7
899,45
900,0
901,0
902,12
903,47
904,0
905,34
906,0
907,17
908,0
909,0
910,0
911,12
912,13
913,8
914,4
915,11
916,41
917,0
918,0
919,4
920,4
921,27
922,0
923,12
924,0
925,16
926,0
927,0
928,45
929,0
930,0
931,47
932,10
933,25
934,4
935,23
936,27
937,18
938,0
939,0
940,0
941,45
942,34
943,25
944,49
945,12
946,48
947,0
948,4
949,38
950,0
951,0
952,4
953,40
954,18
955,12
956,20
957,39
958,2
959,45
960,12
961,44
962,45
963,21
964,9
965,10
966,41
967,4
968,4
969,37
970,0
971,17
972,34
973,0
974,0
975,2
976,44
977,40
978,47
979,27
980,12
981,45
982,7
983,47
984,2
985,33
986,45
987,8
988,0
989,12
990,45
991,0
992,0
993,10
994,11
995,0
996,12
997,4
998,27
999,4
1000,4
1001,22
1002,8
1003,0
1004,40
1005,2
1006,34
1007,0
1008,45
1009,0
1010,7
1011,27
1012,0
1013,37
1014,0
1015,4
1016,24
1017,32
1018,45
1019,16
1020,7
1021,45
1022,0
1023,2
1024,38
1025,41
1026,0
1027,4
1028,43
1029,48
1030,13
1031,39
1032,21
1033,44
1034,22
1035,2
1036,40
1037,40
1038,0
1039,5
1040,0
1041,0
1042,28
1043,12
1044,0
1045,0
1046,13
1047,4
1048,0
1049,32
1050,12
1051,21
1052,20
1053,48
1054,25
1055,47
1056,0
1057,0
1058,0
1059,17
1060,12
1061,48
1062,12
1063,12
1064,13
1065,0
1066,12
1067,0
1068,0
1069,4
1070,4
1071,16
1072,45
1073,12
1074,49
1075,0
1076,12
1077,0
1078,4
1079,0
1080,0
1081,0
1082,47
1083,2
1084,22
1085,10
1086,0
1087,4
1088,7
1089,45
1090,0
1091,49
1092,7
1093,0
1094,0
1095,22
1096,0
1097,41
1098,23
1099,0
1100,12
1101,43
1102,0
1103,33
1104,12
1105,0
1106,13
1107,12
1108,12
1109,32
1110,14
1111,14
1112,12
1113,12
1114,12
1115,0
1116,12
1117,22
1118,0
1119,0
1120,17
1121,7
1122,40
1123,19
1124,4
1125,0
1126,41
1127,12
1128,0
1129,10
1130,43
1131,12
1132,18
1133,0
1134,7
1135,4
1136,43
1137,0
1138,4
1139,41
1140,0
1141,45
1142,0
1143,0
1144,4
1145,20
1146,0
1147,25
1148,0
1149,9
1150,0
1151,0
1152,0
1153,4
1154,0
1155,4
1156,0
1157,7
1158,35
1159,27
1160,40
1161,4
1162,0
1163,43
1164,0
1165,14
1166,41
1167,8
1168,0
1169,8
1170,12
1171,28
1172,0
1173,41
1174,2
1175,36
1176,0
1177,21
1178,12
1179,29
1180,33
1181,2
1182,49
1183,0
1184,0
1185,18
1186,42
1187,2
1188,12
1189,28
1190,41
1191,7
1192,17
1193,0
1194,3
1195,12
1196,47
1197,0
1198,0
1199,0
1200,45
1201,0
1202,23
1203,7
1204,0
1205,12
1206,0
1207,9
1208,4
1209,41
1210,12
1211,4
1212,44
1213,22
1214,2
1215,14
1216,13
1217,14
1218,27
1219,0
1220,16
1221,0
1222,49
1223,0
1224,43
1225,40
1226,16
1227,12
1228,16
1229,7
1230,13
1231,25
1232,41
1233,45
1234,47
1235,13
1236,4
1237,0
1238,32
1239,44
1240,0
1241,0
1242,4
1243,2
1244,12
1245,21
1246,12
1247,27
1248,34
1249,0
1250,45
1251,0
1252,2
1253,21
1254,45
1255,0
1256,0
1257,12
1258,0
1259,10
1260,4
1261,45
1262,12
1263,3
1264,12
1265,14
1266,0
1267,7
1268,0
1269,45
1270,9
1271,4
1272,0
1273,6
1274,12
1275,0
1276,12
1277,14
1278,0
1279,41
1280,7
1281,41
1282,12
1283,0
1284,0
1285,0
1286,47
1287,12
1288,34
1289,0
1290,4
1291,10
1292,4
1293,32
1294,12
1295,0
1296,40
1297,13
1298,39
1299,0
1300,2
1301,0
1302,0
1303,45
1304,5
1305,0
1306,12
1307,13
1308,0
1309,47
1310,0
1311,0
1312,0
1313,17
1314,0
1315,0
1316,22
1317,12
1318,0
1319,0
1320,0
1321,42
1322,34
1323,27
1324,17
1325,0
1326,33
1327,45
1328,41
1329,0
1330,49
1331,2
1332,41
1333,43
1334,0
1335,0
1336,7
1337,0
1338,0
1339,4
1340,0
1341,32
1342,25
1343,2
1344,34
1345,16
1346,12
1347,42
1348,0
1349,48
1350,0
1351,12
1352,0
1353,0
1354,0
1355,39
1356,0
1357,11
1358,14
1359,45
1360,47
1361,0
1362,34
1363,0
1364,0
1365,21
1366,2
1367,2
1368,0
1369,36
1370,33
1371,44
1372,4
1373,0
1374,2
1375,19
1376,14
1377,12
1378,12
1379,33
1380,22
1381,8
1382,0
1383,12
1384,0
1385,0
1386,13
1387,45
1388,43
1389,0
1390,0
1391,0
1392,0
1393,0
1394,7
1395,12
1396,41
1397,0
1398,34
1399,47
1400,40
1401,9
1402,21
1403,22
1404,0
1405,18
1406,43
1407,4
1408,4
1409,12
1410,34
1411,13
1412,34
1413,20
1414,22
1415,12
1416,12
1417,0
1418,0
1419,42
1420,0
1421,24
1422,12
1423,4
1424,12
1425,41
1426,9
1427,0
1428,0
1429,0
1430,0
1431,10
1432,12
1433,12
1434,0
1435,48
1436,0
1437,4
1438,41
1439,45
1440,45
1441,9
1442,16
1443,12
1444,45
1445,2
1446,0
1447,0
1448,46
1449,25
1450,0
1451,10
1452,22
1453,4
1454,45
1455,28
1456,28
1457,16
1458,0
1459,9
1460,41
1461,2
1462,47
1463,0
1464,9
1465,0
1466,20
1467,0
1468,33
1469,4
1470,0
1471,12
1472,2
1473,33
1474,34
1475,4
1476,0
1477,38
1478,29
1479,23
1480,20
1481,16
1482,12
1483,0
1484,0
1485,12
1486,21
1487,47
1488,0
1489,0
1490,13
1491,22
1492,20
1493,12
1494,10
1495,14
1496,19
1497,0
1498,0
1499,0
1500,4
1501,12
1502,0
1503,0
1504,0
1505,34
1506,21
1507,17
1508,33
1509,0
1510,7
1511,0
1512,45
1513,47
1514,40
1515,33
1516,34
1517,0
1518,27
1519,21
1520,0
1521,4
1522,28
1523,12
1524,25
1525,12
1526,10
1527,7
1528,16
1529,0
1530,41
1531,12
1532,47
1533,0
1534,0
1535,40
1536,29
1537,0
1538,47
1539,12
1540,0
1541,0
1542,22
1543,13
1544,28
1545,10
1546,0
1547,0
1548,7
1549,0
1550,0
1551,0
1552,0
1553,25
1554,9
1555,22
1556,0
1557,47
1558,40
1559,8
1560,2
1561,41
1562,0
1563,27
1564,0
1565,48
1566,12
1567,2
1568,0
1569,8
1570,6
1571,40
1572,47
1573,22
1574,12
1575,0
1576,4
1577,18
1578,12
1579,25
1580,33
1581,0
1582,4
1583,27
1584,0
1585,0
1586,48
1587,4
1588,13
1589,12
1590,0
1591,37
1592,0
1593,17
1594,42
1595,0
1596,0
1597,12
1598,20
1599,0
1600,12
1601,0
1602,41
1603,25
1604,46
1605,25
1606,19
1607,0
1608,38
1609,33
1610,6
1611,2
1612,46
1613,0
1614,41
1615,25
1616,0
1617,12
1618,44
1619,2
1620,9
1621,19
1622,0
1623,0
1624,9
1625,22
1626,4
1627,0
1628,0
1629,39
1630,9
1631,12
1632,2
1633,16
1634,0
1635,0
1636,12
1637,0
1638,4
1639,9
1640,0
1641,38
1642,0
1643,0
1644,16
1645,16
1646,40
1647,14
1648,40
1649,34
1650,15
1651,13
1652,0
1653,0
1654,0
1655,12
1656,4
1657,37
1658,0
1659,0
1660,0
1661,34
1662,0
1663,0
1664,12
1665,12
1666,13
1667,0
1668,22
1669,34
1670,36
1671,27
1672,0
1673,0
1674,0
1675,0
1676,0
1677,21
1678,45
1679,43
1680,0
1681,0
1682,12
1683,0
1684,19
1685,0
1686,16
1687,0
1688,22
1689,0
1690,47
1691,12
1692,18
1693,49
1694,0
1695,12
1696,28
1697,22
1698,0
1699,36
1700,22
1701,0
1702,2
1703,46
1704,0
1705,7
1706,25
1707,13
1708,0
1709,13
1710,27
1711,36
1712,28
1713,0
1714,34
1715,28
1716,39
1717,0
1718,25
1719,0
1720,41
1721,2
1722,14
1723,0
1724,4
1725,45
1726,6
1727,41
1728,12
1729,6
1730,0
1731,20
1732,20
1733,12
1734,16
1735,0
1736,21
1737,7
1738,7
1739,18
1740,28
1741,45
1742,20
1743,0
1744,24
1745,16
1746,0
1747,0
1748,0
1749,45
1750,0
1751,0
1752,40
1753,48
1754,12
1755,12
1756,10
1757,16
1758,18
1759,10
1760,7
1761,33
1762,45
1763,7
1764,14
1765,0
1766,0
1767,2
1768,4
1769,47
1770,18
1771,42
1772,22
1773,36
1774,41
1775,12
1776,4
1777,2
1778,28
1779,12
1780,40
1781,0
1782,13
1783,0
1784,45
1785,7
1786,0
1787,0
1788,2
1789,41
1790,25
1791,21
1792,0
1793,45
1794,49
1795,4
1796,27
1797,7
1798,37
1799,12
1800,0
1801,21
1802,12
1803,0
1804,34
1805,12
1806,17
1807,38
1808,2
1809,21
1810,0
1811,0
1812,0
1813,22
1814,0
1815,0
1816,0
1817,40
1818,12
1819,16
1820,29
1821,2
1822,9
1823,12
1824,0
1825,9
1826,0
1827,0
1828,0
1829,19
1830,0
1831,9
1832,0
1833,0
1834,0
1835,12
1836,0
1837,22
1838,4
1839,0
1840,7
1841,9
1842,43
1843,41
1844,20
1845,13
1846,12
1847,2
1848,40
1849,0
1850,0
1851,12
1852,4
1853,14
1854,41
1855,22
1856,12
1857,41
1858,12
1859,0
1860,45
1861,24
1862,4
1863,21
1864,24
1865,14
1866,12
1867,23
1868,10
1869,0
1870,0
1871,0
1872,2
1873,12
1874,4
1875,34
1876,13
1877,22
1878,18
1879,40
1880,4
1881,0
1882,4
1883,0
1884,7
1885,0
1886,48
1887,0
1888,14
1889,49
1890,28
1891,0
1892,13
1893,0
1894,16
1895,45
1896,16
1897,36
1898,12
1899,12
1900,12
1901,0
1902,13
1903,43
1904,0
1905,0
1906,45
1907,0
1908,9
1909,4
1910,7
1911,12
1912,12
1913,17
1914,16
1915,12
1916,0
1917,33
1918,0
1919,0
1920,12
1921,41
1922,2
1923,7
1924,7
1925,4
1926,30
